task	method	budget	obs_id	base_seed	num_post
bernoulli_glm	rej	1000	1	0	10000
bernoulli_glm	rej	1000	2	0	10000
bernoulli_glm	rej	1000	3	0	10000
bernoulli_glm	rej	1000	4	0	10000
bernoulli_glm	rej	1000	5	0	10000
bernoulli_glm	rej	1000	6	0	10000
bernoulli_glm	rej	1000	7	0	10000
bernoulli_glm	rej	1000	8	0	10000
bernoulli_glm	rej	1000	9	0	10000
bernoulli_glm	rej	1000	10	0	10000
bernoulli_glm	rej	10000	1	0	10000
bernoulli_glm	rej	10000	2	0	10000
bernoulli_glm	rej	10000	3	0	10000
bernoulli_glm	rej	10000	4	0	10000
bernoulli_glm	rej	10000	5	0	10000
bernoulli_glm	rej	10000	6	0	10000
bernoulli_glm	rej	10000	7	0	10000
bernoulli_glm	rej	10000	8	0	10000
bernoulli_glm	rej	10000	9	0	10000
bernoulli_glm	rej	10000	10	0	10000
bernoulli_glm	rej	100000	1	0	10000
bernoulli_glm	rej	100000	2	0	10000
bernoulli_glm	rej	100000	3	0	10000
bernoulli_glm	rej	100000	4	0	10000
bernoulli_glm	rej	100000	5	0	10000
bernoulli_glm	rej	100000	6	0	10000
bernoulli_glm	rej	100000	7	0	10000
bernoulli_glm	rej	100000	8	0	10000
bernoulli_glm	rej	100000	9	0	10000
bernoulli_glm	rej	100000	10	0	10000
bernoulli_glm	rej_ra	1000	1	0	10000
bernoulli_glm	rej_ra	1000	2	0	10000
bernoulli_glm	rej_ra	1000	3	0	10000
bernoulli_glm	rej_ra	1000	4	0	10000
bernoulli_glm	rej_ra	1000	5	0	10000
bernoulli_glm	rej_ra	1000	6	0	10000
bernoulli_glm	rej_ra	1000	7	0	10000
bernoulli_glm	rej_ra	1000	8	0	10000
bernoulli_glm	rej_ra	1000	9	0	10000
bernoulli_glm	rej_ra	1000	10	0	10000
bernoulli_glm	rej_ra	10000	1	0	10000
bernoulli_glm	rej_ra	10000	2	0	10000
bernoulli_glm	rej_ra	10000	3	0	10000
bernoulli_glm	rej_ra	10000	4	0	10000
bernoulli_glm	rej_ra	10000	5	0	10000
bernoulli_glm	rej_ra	10000	6	0	10000
bernoulli_glm	rej_ra	10000	7	0	10000
bernoulli_glm	rej_ra	10000	8	0	10000
bernoulli_glm	rej_ra	10000	9	0	10000
bernoulli_glm	rej_ra	10000	10	0	10000
bernoulli_glm	rej_ra	100000	1	0	10000
